iter	Passed	Remaining
801	1134	279
802	1134	278
803	1135	276
804	1136	275
805	1136	273
806	1136	271
807	1137	270
808	1138	268
809	1138	267
810	1139	265
811	1139	263
812	1140	262
813	1140	260
814	1142	259
815	1142	257
816	1143	256
817	1143	254
818	1144	252
819	1144	251
820	1145	249
821	1145	248
822	1147	246
823	1148	245
824	1149	243
825	1150	242
826	1150	240
827	1151	239
828	1153	237
829	1154	236
830	1156	235
831	1157	233
832	1159	232
833	1160	231
834	1161	229
835	1163	228
836	1164	226
837	1166	225
838	1168	224
839	1168	222
840	1169	221
841	1172	220
842	1173	218
843	1176	217
844	1177	216
845	1178	214
846	1179	213
847	1180	211
848	1183	210
849	1183	208
850	1184	207
851	1187	206
852	1187	204
853	1190	203
854	1191	202
855	1192	200
856	1194	199
857	1194	197
858	1197	196
859	1198	195
860	1200	193
861	1201	192
862	1202	190
863	1205	189
864	1206	188
865	1207	186
866	1208	185
867	1210	184
868	1211	182
869	1212	181
870	1212	179
871	1212	178
872	1213	176
873	1214	175
874	1216	173
875	1217	172
876	1218	170
877	1221	169
878	1222	168
879	1225	167
880	1228	165
881	1228	164
882	1232	163
883	1232	161
884	1235	160
885	1236	159
886	1237	157
887	1240	156
888	1240	154
889	1243	153
890	1244	152
891	1247	151
892	1247	149
893	1248	148
894	1251	146
895	1251	145
896	1254	144
897	1255	142
898	1256	141
899	1258	139
900	1259	138
901	1262	137
902	1263	135
903	1265	134
904	1266	132
905	1267	131
906	1270	130
907	1270	128
908	1271	127
909	1273	125
910	1273	124
911	1276	123
912	1277	121
913	1277	120
914	1280	118
915	1281	117
916	1284	116
917	1284	114
918	1287	113
919	1288	112
920	1289	110
921	1291	109
922	1292	107
923	1295	106
924	1295	105
925	1296	103
926	1299	102
927	1300	100
928	1300	99
929	1303	98
930	1304	96
931	1304	95
932	1306	93
933	1307	92
934	1309	91
935	1310	89
936	1311	88
937	1312	86
938	1314	85
939	1315	83
940	1317	82
941	1318	81
942	1320	79
943	1320	78
944	1323	77
945	1323	75
946	1325	74
947	1326	72
948	1327	71
949	1329	69
950	1330	68
951	1331	67
952	1331	65
953	1334	64
954	1336	62
955	1337	61
956	1339	60
957	1339	58
958	1342	57
959	1343	55
960	1345	54
961	1346	53
962	1346	51
963	1350	50
964	1351	49
965	1351	47
966	1354	46
967	1354	44
968	1355	43
969	1355	41
970	1356	40
971	1358	39
972	1358	37
973	1359	36
974	1360	34
975	1362	33
976	1362	32
977	1363	30
978	1366	29
979	1368	27
980	1369	26
981	1371	25
982	1372	23
983	1373	22
984	1376	20
985	1377	19
986	1379	18
987	1380	16
988	1381	15
989	1383	13
990	1384	12
991	1385	11
992	1387	9
993	1388	8
994	1391	6
995	1391	5
996	1392	4
997	1395	2
998	1396	1
999	1398	0
