iter	MultiClass
0	1.028888726
1	0.953343322
2	0.8844862078
3	0.8293331164
4	0.7756616161
5	0.7362264105
6	0.6938689796
7	0.6488717563
8	0.6089084787
9	0.5776655961
10	0.5490803353
11	0.5185307443
12	0.4966979419
13	0.4718552372
14	0.4528741902
15	0.4339143513
16	0.4149792298
17	0.3974035118
18	0.3830039546
19	0.3686904536
20	0.3562140377
21	0.345285058
22	0.3331545033
23	0.3207091798
24	0.3094010468
25	0.2992040869
26	0.289932431
27	0.2804364228
28	0.2709845394
29	0.2629757693
30	0.2537514204
31	0.2455939559
32	0.2386991404
33	0.231401267
34	0.2248071483
35	0.2195836603
36	0.2152120394
37	0.2100864282
38	0.2056472725
39	0.2002659876
40	0.195125791
41	0.1920167444
42	0.1882037808
43	0.1845794418
44	0.1810149732
45	0.1756441749
46	0.1730080716
47	0.1697382039
48	0.1662947249
49	0.1629638501
50	0.1599686587
51	0.1568311445
52	0.1537737186
53	0.150933829
54	0.1486144754
55	0.1463191868
56	0.1434626848
57	0.1413395848
58	0.1387478556
59	0.1358923707
60	0.1337293904
61	0.1311426429
62	0.1294679751
63	0.1274494903
64	0.1240869961
65	0.1220378039
66	0.1201675365
67	0.1179488494
68	0.116203383
69	0.1145954731
70	0.1132233317
71	0.1112848915
72	0.1094459356
73	0.1076643217
74	0.1059473671
75	0.1045007046
76	0.1022196316
77	0.1009360297
78	0.0998187775
79	0.09855828173
80	0.09729982538
81	0.09593073407
82	0.09443566253
83	0.0931570529
84	0.09169312299
85	0.09066401723
86	0.08960886476
87	0.08838932919
88	0.08717092849
89	0.08627264551
90	0.08524849107
91	0.08441307786
92	0.08347383089
93	0.0824131378
94	0.08111552423
95	0.07958331523
96	0.07819199214
97	0.07706176453
98	0.07608481716
99	0.07499043814
100	0.07401855409
101	0.07291579308
102	0.07214625991
103	0.07106548837
104	0.07022161565
105	0.06953604339
106	0.06876439068
107	0.06818067029
108	0.06718543642
109	0.06631908933
110	0.06567010431
111	0.06496994695
112	0.06418300376
113	0.06350667774
114	0.06291740896
115	0.06210926293
116	0.06136615214
117	0.06046650341
118	0.05987037371
119	0.05924219743
120	0.05855224525
121	0.05779871454
122	0.05694364627
123	0.05641504305
124	0.05580255526
125	0.05530957185
126	0.05490521653
127	0.05424270881
128	0.05380549187
129	0.05328877316
130	0.05279733342
131	0.05241378674
132	0.05203763247
133	0.05171162175
134	0.05102511323
135	0.0506429804
136	0.05018222802
137	0.04984011354
138	0.04935166914
139	0.04898050569
140	0.04838584402
141	0.04776295854
142	0.04744284068
